Gift ID,Holiday,Gender,Age,Relationship,Budget,Max Budget,Associated Hobbies,Gift Title,Gift Summary,Rating,Link
11,Anniversary,Female,15-60,"Partner, WIfe, Girlfriend, Friend",$25,$40,"Self-care, spa, lavender, bath, gel, shower, stress relief, luxury, Beauty","Spa Bath Gift Basket Set, Lavender Home Spa Gift for Women, with Shower Gel, Bubble Bath, Body Butter, Bath Salt, Bath Bomb, Bath Oil, Bath Soap,Gift Idea for Mother, Girlfriend, Wife","Soothes and hydrates the skin, moisturizes and refreshes the body, and revitalizes the mind and spirit.Soothes and hydrates the skin, moisturizes and refreshes the body, and revitalizes the mind and spirit.",4.6,https://www.amazon.com/Basket-Lavender-Shower-Bubble-Girlfriend/dp/B07W6KQ4WQ/ref=sr_1_20_sspa?crid=3TDM2P61MVWJX&dib=eyJ2IjoiMSJ9.VznXOTW2Pjn02HMU4gFnpt91XvI9sCBRsb882TXEgSNVySXezNwA3GE3ffkpmpXQA9bFmy6oYMjw7rThynpxl4-tOw2ukwrcaeMKZ-u76kF1VjzIoETm4B2CCPloxBGskNT0dEs3-xsMEr1U7z3LKYLGXrRtD4O9WwpHd8cBxfX-7sHf_pEa-K38qER8II-90yyAej2AxMAbtBaclT0PYMve_AAHCSWWh5a0JgGhRX2m4naGb2gw3Uj06hOtK7IJOo9d-kjK98QCkgaY7YCEObOUP1G8SlHheVy0qSdSsKA.wBD2d2ZFPSTPfd4me-mHJP8UzrVvYHUeUhl9_iN929Y&dib_tag=se&keywords=christmas+gifts+for+teen+girls&qid=1727211266&s=beauty&sprefix=christmas+gifts%2Cbeauty%2C125&sr=1-20-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
12,Anniversary,Female,0-100,"Partner, WIfe, Girlfriend, Friend",$10,$15,"Lip, Cosmetics, Tropical, Fruit, Self-care, Beauty","Burt's Bees Lip Balm - Pink Grapefruit, Mango, Coconut & Pear, and Pomegranate Pack, Lip Moisturizer With Beeswax, Tint-Free, Natural Origin Conditioning Lip Treatment, 4 Tubes, 0.15 oz.","Flavorful lip balm, moisturize lips, refreshing, nourish dry or chapped lips, conditioning lip therapy, natural origin. ",4.8,https://www.amazon.com/Burts-Bees-Natural-Moisturizing-Superfruit/dp/B00HJZT0YQ/ref=asc_df_B00HJZT0YQ/?tag=hyprod-20&linkCode=df0&hvadid=693031565463&hvpos=&hvnetw=g&hvrand=16493975957634477809&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9026839&hvtargid=pla-331779948363&psc=1&mcid=97b6a8744c753387b7188fe3894facc1
13,Anniversary,"Female, Male",0-100,"Partner, Wife, Husband, Girlfriend, Boyfriend, Friend",$8,$15,"Food, Candy, Edible",Brach's Large Conversation Hearts - 5 oz bag,"Large Conversation Hearts include a sweet message! Kiss me, miss you, xoxo. Flavors include wintergreen, banana, orange, lemon lime, cherry and grape.",3.6,https://www.amazon.com/Brachs-Large-Conversation-Hearts-bag/dp/B0CRYC64PX/ref=asc_df_B0CRYC64PX/?tag=hyprod-20&linkCode=df0&hvadid=696616596917&hvpos=&hvnetw=g&hvrand=5495842157463955688&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9026839&hvtargid=pla-2300702500001&psc=1&mcid=af9f21d027d63ab5851f07f1fd385e19
14,Anniversary,"Female, Male",0-100,"Partner, Wife, Husband, Girlfriend, Boyfriend, Friend",$15,$25,"Food, Chocolate, Edible","Ferrero RocheroFerrero Rocher, 24 Count, Premium Milk Chocolate Hazelnut, Valentine's Chocolate Gift Box, 10.6 oz","Milk chocolate gift box offers a unique taste experience of contrasting layers: a whole crunchy hazelnut in the heart and a delicious, creamy hazelnut filling surrounded with milk chocolate, crispy wafers and gently roasted hazelnut pieces. And thanks to its signature golden wrapper, Ferrero Rocher is even more unique and special.",4.7,https://www.amazon.com/Ferrero-Rocher-Hazelnut-Chocolate-Count/dp/B002Y1Z80U
15,Christmas,Male,20-30,"Partner, Father, Parent, Friend, Sibling, Brother",$30,$50,"Clothing, Clothes, Outdoors, Everyday",Wrangler Authentics Men's Long Sleeve Quilted Lined Flannel Shirt Jacket with Hood,"Wrangler Authentic men's quilted long sleeve lined Flannel with hood. This flannel features polyester lined body, interior, two pockets, and brushed flannel exterior making it the perfect jacket for those cold winter nights. The jacket offers versatility, comfort, and warmth, making it a fall and winter essential.",4.6,https://www.amazon.com/Wrangler-Authentics-Sleeve-Quilted-Flannel/dp/B073JTCV9F/ref=sr_1_15?crid=388ADFBMGY0Q5&dib=eyJ2IjoiMSJ9.K4lPQdw68N_u-VSAV61R6XZrYraEtzDFCKqjyD54Oa4b0zYctsVNagahfeMPlPNOyE4b36dUqweT8MnMho7HKov9Z_7UYs7YrJ2PplVZXS9A7rCDZb_xa2hWS-oz2cUioUbAYMxuFei2Q9NT3K7V0DV5WmV5Qr5q9oT8LaBvf7wxqMOJMvlAOKlNTZO7L40VIS_aukxz-k6Tk-J-g3HxKhRBtv6uBjduKd4BNOQxoWV9bfwaHEZs4OulrQq9VqPDYOaZ_xiHMsrmyRMVOy63AhdjPudMy3xcHUljzEAmtak.reCjUiojeCTTQN-Q_OxV2AJBsxmSzJ069gDRVZjCKt0&dib_tag=se&keywords=gifts%2Bfor%2Bhim&qid=1727209833&sprefix=gifts%2Bfor%2Bhim%2Caps%2C173&sr=8-15&th=1&psc=1
16,Christmas,Male,16-30,"Partner, Father, Parent, Friend, Sibling, Brother",$20,$30,"Clothing, Clothes, Outdoors, Everyday",Carhartt Men's Canvas Cap,Cotton cap featuring square logo patch at front and moisture-wicking Coolmax sweatband,4.7,https://www.amazon.com/Carhartt-100289-211-Canvas-Baseball-Cap/dp/B00B354UUC/ref=sr_1_35?crid=388ADFBMGY0Q5&dib=eyJ2IjoiMSJ9.K4lPQdw68N_u-VSAV61R6XZrYraEtzDFCKqjyD54Oa7-uUVBhQsCvCVtKeUo14l5eKimLE8JdsMxpt391cNphIv9Z_7UYs7YrJ2PplVZXS9A7rCDZb_xa2hWS-oz2cUil9S6M6Qb39_NT0RtW_0oaSw-D6YLfmN414KMDX7Q5xAxqMOJMvlAOKlNTZO7L40VgR-BGlATQqs6qsp-bYzzEjZ-TS5AzwWbxh--1fu4k9LJTqwqaEK8WWeMNzBQrpC_hafDCeB3DHPgr-IixiRE6xdjPudMy3xcHUljzEAmtak.6Xc_Qf20yJxxviFKlmmBKyu1H-8aIY4-Cxrz-kb2CtA&dib_tag=se&keywords=gifts%2Bfor%2Bhim&qid=1727210190&sprefix=gifts%2Bfor%2Bhim%2Caps%2C173&sr=8-35&th=1&psc=1
17,Christmas,"Male, Female",16-40,"Partner, Mother, Father, Parent, Friend, Sibling, Brother, Sister",$35,$50,"Outdoors, Everyday","STANLEY IceFlow Stainless Steel Tumbler with Straw, Vacuum Insulated Water Bottle for Home, Office or Car, Reusable Cup with Straw Leak Resistant Flip","These bold, colorful tumblers are made to keep you hydrated in a fully functional style. Ideal for car commutes or workouts at home, it has a built-in flip straw for easy and effortless sipping. Snap it shut and the double-wall vacuum insulation will keep your drink fully leakproof and extra cold for hours. It fits comfortably in your vehicle’s cup holder (treadmills and spin cycles, too!) and the folding handle lets you quickly grab and go",4.6,https://www.amazon.com/Stanley-IceFlow-Stainless-Steel-Tumbler/dp/B0BNYRDPZH/ref=sr_1_28?crid=388ADFBMGY0Q5&dib=eyJ2IjoiMSJ9.K4lPQdw68N_u-VSAV61R6XZrYraEtzDFCKqjyD54Oa7-uUVBhQsCvCVtKeUo14l5eKimLE8JdsMxpt391cNphIv9Z_7UYs7YrJ2PplVZXS9A7rCDZb_xa2hWS-oz2cUil9S6M6Qb39_NT0RtW_0oaSw-D6YLfmN414KMDX7Q5xAxqMOJMvlAOKlNTZO7L40VgR-BGlATQqs6qsp-bYzzEjZ-TS5AzwWbxh--1fu4k9LJTqwqaEK8WWeMNzBQrpC_hafDCeB3DHPgr-IixiRE6xdjPudMy3xcHUljzEAmtak.6Xc_Qf20yJxxviFKlmmBKyu1H-8aIY4-Cxrz-kb2CtA&dib_tag=se&keywords=gifts%2Bfor%2Bhim&qid=1727210190&sprefix=gifts%2Bfor%2Bhim%2Caps%2C173&sr=8-28&th=1
18,Christmas,Male,16-30,"Partner, Father, Parent, Friend, Sibling, Brother",$19,$30,"Outdoors, Everyday",Carhartt Men's Knit Cuffed Beanie,Knit Cuffed Beanie with Carhartt label sewn on front,4.8,https://www.amazon.com/Carhartt-Acrylic-Watch-Heather-Size/dp/B002G9UE3Q/ref=sr_1_54_mod_primary_new?crid=388ADFBMGY0Q5&dib=eyJ2IjoiMSJ9.K4lPQdw68N_u-VSAV61R6XZrYraEtzDFCKqjyD54Oa7-uUVBhQsCvCVtKeUo14l5eKimLE8JdsMxpt391cNphIv9Z_7UYs7YrJ2PplVZXS9A7rCDZb_xa2hWS-oz2cUil9S6M6Qb39_NT0RtW_0oaSw-D6YLfmN414KMDX7Q5xAxqMOJMvlAOKlNTZO7L40VgR-BGlATQqs6qsp-bYzzEjZ-TS5AzwWbxh--1fu4k9LJTqwqaEK8WWeMNzBQrpC_hafDCeB3DHPgr-IixiRE6xdjPudMy3xcHUljzEAmtak.6Xc_Qf20yJxxviFKlmmBKyu1H-8aIY4-Cxrz-kb2CtA&dib_tag=se&keywords=gifts%2Bfor%2Bhim&qid=1727210190&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=gifts%2Bfor%2Bhim%2Caps%2C173&sr=8-54&th=1&psc=1
19,Christmas,Male,20-40,"Partner, Father, Parent, Friend, Sibling, Brother",$30,$50,"Everyday, Jewelry, Watch, Accessory, Fashion","OLEVS Men Multifunction Watch, Multi Dial Waterproof Luminous Chronograph Men's Watch with Date Gift for Men,Stainless Steel Watches for Men,Classic Men Wrist Watch","Nordic classic fashion design men's watch, clear lines draw the outline of a unique texture. This classic simple gent's wristwatch will be greatly suitable for any occasion. It is quite suitable for a present with an elegant package. This is a perfect gift for you or your friends",4.2,https://www.amazon.com/OLEVS-Stainless-Chronograph-Multifunction-Waterproof/dp/B0B4JTZV2T/ref=sr_1_2_sspa?crid=1287ZQMEH3YFI&dib=eyJ2IjoiMSJ9.dJ2Qtchh72a0cB4NysYO40GWWJdstb4ceCqcaiEfAUVKVfDS9_ZBugjklmwbDjNaL11wf_1nQl-1YHtJDGylgOY07xoQZPkAUYHhZ4HI3kuCZAITgPZUpR4ON3zZu4L_hX8uPiWmwXR8rmFHgbt0_X_zmsLSXippX6nbGBFDpSaiuubOsg-OxgkNo-DnHxQ2hLncPDqL1jJy7E5k8LdAC9GLzwhxSTmedQgTddBvXLhN4bjjTdfrjGjM2nWvCDlvknQ0wa54w5GgMcdgHhen0QeeXD6ano2zKLTZRf2ucb4.3ueWkGach0Ubem7krmAamhdloqyrJazNnHPP2QwS8-s&dib_tag=se&keywords=watch%2Bfor%2Bmen&qid=1727210871&sprefix=watch%2Bfor%2Bmen%2Caps%2C177&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
20,Christmas,Male,20-40,"Partner, Father, Parent, Friend, Sibling, Brother",$50,$150,"Everyday, Jewelry, Fashion",Fossil Grant Men's Watch with Chronograph or Automatic Display and Genuine Leather or Stainless Steel Band,"Inspired by vintage timepieces, our Grant collection has classic appeal with contemporary details. Available in a variety of color pairings and strap materials, each watch features a structural stainless steel case as well as modern Roman numerals designed to provide artistic balance and symmetry to the dial. No matter which hues and detailing you choose, this is a watch you’ll go back to over and over again.",4.6,https://www.amazon.com/Fossil-Quartz-Stainless-Leather-Chronograph/dp/B008AXURAW/ref=sr_1_10?crid=1287ZQMEH3YFI&dib=eyJ2IjoiMSJ9.dJ2Qtchh72a0cB4NysYO40GWWJdstb4ceCqcaiEfAUVKVfDS9_ZBugjklmwbDjNaL11wf_1nQl-1YHtJDGylgOY07xoQZPkAUYHhZ4HI3kuCZAITgPZUpR4ON3zZu4L_hX8uPiWmwXR8rmFHgbt0_X_zmsLSXippX6nbGBFDpSaiuubOsg-OxgkNo-DnHxQ2hLncPDqL1jJy7E5k8LdAC9GLzwhxSTmedQgTddBvXLhN4bjjTdfrjGjM2nWvCDlvknQ0wa54w5GgMcdgHhen0QeeXD6ano2zKLTZRf2ucb4.3ueWkGach0Ubem7krmAamhdloqyrJazNnHPP2QwS8-s&dib_tag=se&keywords=watch%2Bfor%2Bmen&qid=1727211007&sprefix=watch%2Bfor%2Bmen%2Caps%2C177&sr=8-10&th=1
